Files	file_content	vessel_type	position_in_tube	time_in_water	slide_id
AMID-04_CC-124_pools/S4-Cr4-M/S4-Cr4-M-timelapse_0019.nd2	raw brightfield time-lapse microscopy data	pools	middle	4	S4-Cr4-M
AMID-04_CC-124_pools/S4-Cr4-M/S4-Cr4-M-timelapse_0020.nd2	raw brightfield time-lapse microscopy data	pools	middle	4	S4-Cr4-M
AMID-04_CC-124_pools/S4-Cr4-M/S4-Cr4-M-timelapse_0021.nd2	raw brightfield time-lapse microscopy data	pools	middle	4	S4-Cr4-M
AMID-04_CC-124_pools/S4-Cr4-M/S4-Cr4-M-timelapse_0022.nd2	raw brightfield time-lapse microscopy data	pools	middle	4	S4-Cr4-M
AMID-04_CC-124_pools/S4-Cr4-M/S4-Cr4-M-timelapse_0023.nd2	raw brightfield time-lapse microscopy data	pools	middle	4	S4-Cr4-M
AMID-04_CC-124_pools/S4-Cr4-M/S4-Cr4-M-timelapse_0024.nd2	raw brightfield time-lapse microscopy data	pools	middle	4	S4-Cr4-M
AMID-04_CC-124_pools/S4-Cr4-M/S4-Cr4-M-timelapse_0025.nd2	raw brightfield time-lapse microscopy data	pools	middle	4	S4-Cr4-M
AMID-04_CC-124_pools/S4-Cr4-M/S4-Cr4-M-timelapse_0026.nd2	raw brightfield time-lapse microscopy data	pools	middle	4	S4-Cr4-M
AMID-04_CC-124_pools/S4-Cr4-M/S4-Cr4-M-timelapse_0027.nd2	raw brightfield time-lapse microscopy data	pools	middle	4	S4-Cr4-M
AMID-04_CC-124_pools/S1-Cr3-T/processed/s1-cr3-t-timelapse_001_animation.mp4	movie of tracked cells with animated trajectories	pools	top	21	S1-Cr3-T
AMID-04_CC-124_pools/S1-Cr3-T/processed/s1-cr3-t-timelapse_002_animation.mp4	movie of tracked cells with animated trajectories	pools	top	21	S1-Cr3-T
AMID-04_CC-124_pools/S1-Cr3-T/processed/s1-cr3-t-timelapse_003_animation.mp4	movie of tracked cells with animated trajectories	pools	top	21	S1-Cr3-T
AMID-04_CC-124_pools/S1-Cr3-T/processed/s1-cr3-t-timelapse_004_animation.mp4	movie of tracked cells with animated trajectories	pools	top	21	S1-Cr3-T
AMID-04_CC-124_pools/S1-Cr3-T/processed/s1-cr3-t-timelapse_005_animation.mp4	movie of tracked cells with animated trajectories	pools	top	21	S1-Cr3-T
AMID-04_CC-124_pools/S1-Cr3-T/processed/s1-cr3-t-timelapse_006_animation.mp4	movie of tracked cells with animated trajectories	pools	top	21	S1-Cr3-T
AMID-04_CC-124_pools/S1-Cr3-T/processed/s1-cr3-t-timelapse_007_animation.mp4	movie of tracked cells with animated trajectories	pools	top	21	S1-Cr3-T
AMID-04_CC-124_pools/S1-Cr3-T/processed/s1-cr3-t-timelapse_008_animation.mp4	movie of tracked cells with animated trajectories	pools	top	21	S1-Cr3-T
AMID-04_CC-124_pools/S1-Cr3-T/processed/s1-cr3-t-timelapse_009_animation.mp4	movie of tracked cells with animated trajectories	pools	top	21	S1-Cr3-T
AMID-04_CC-124_pools/S1-Cr3-T/processed/s1-cr3-t-timelapse_0010_animation.mp4	movie of tracked cells with animated trajectories	pools	top	21	S1-Cr3-T
AMID-04_CC-124_pools/S1-Cr3-T/processed/s1-cr3-t-timelapse_0011_animation.mp4	movie of tracked cells with animated trajectories	pools	top	21	S1-Cr3-T
AMID-04_CC-124_pools/S1-Cr3-T/processed/s1-cr3-t-timelapse_0012_animation.mp4	movie of tracked cells with animated trajectories	pools	top	21	S1-Cr3-T
AMID-04_CC-124_pools/S1-Cr3-T/processed/s1-cr3-t-timelapse_0013_animation.mp4	movie of tracked cells with animated trajectories	pools	top	21	S1-Cr3-T
AMID-04_CC-124_pools/S1-Cr3-T/processed/s1-cr3-t-timelapse_0014_animation.mp4	movie of tracked cells with animated trajectories	pools	top	21	S1-Cr3-T
AMID-04_CC-124_pools/S1-Cr3-T/processed/s1-cr3-t-timelapse_0015_animation.mp4	movie of tracked cells with animated trajectories	pools	top	21	S1-Cr3-T
AMID-04_CC-124_pools/S1-Cr3-T/processed/s1-cr3-t-timelapse_0016_animation.mp4	movie of tracked cells with animated trajectories	pools	top	21	S1-Cr3-T
AMID-04_CC-124_pools/S1-Cr3-T/processed/s1-cr3-t-timelapse_0017_animation.mp4	movie of tracked cells with animated trajectories	pools	top	21	S1-Cr3-T
AMID-04_CC-124_pools/S1-Cr3-T/processed/s1-cr3-t-timelapse_0018_animation.mp4	movie of tracked cells with animated trajectories	pools	top	21	S1-Cr3-T
AMID-04_CC-124_pools/S1-Cr3-T/processed/s1-cr3-t-timelapse_0019_animation.mp4	movie of tracked cells with animated trajectories	pools	top	21	S1-Cr3-T
AMID-04_CC-124_pools/S1-Cr3-T/processed/s1-cr3-t-timelapse_0020_animation.mp4	movie of tracked cells with animated trajectories	pools	top	21	S1-Cr3-T
AMID-04_CC-124_pools/S1-Cr3-T/processed/s1-cr3-t-timelapse_0021_animation.mp4	movie of tracked cells with animated trajectories	pools	top	21	S1-Cr3-T
AMID-04_CC-124_pools/S1-Cr3-T/processed/s1-cr3-t-timelapse_0022_animation.mp4	movie of tracked cells with animated trajectories	pools	top	21	S1-Cr3-T
